"","Site","Country","HydroBasin","taxnovel","funcnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"1","G100","COL",6080000740,FALSE,FALSE,0,36,1,1.22743083175442,-0.714138453571212
"2","G10003","SWE",2080030160,FALSE,FALSE,0,256,0.727272727272727,-0.193081501338143,0.658838558434978
"3","G10008","SWE",2080030340,FALSE,FALSE,0,25,0.714285714285714,-0.260724945771122,-0.782787304171522
"4","G10016","SWE",2080030160,FALSE,FALSE,0,289,0.739130434782609,-0.13132009555151,0.864785110235906
"5","G10019","SWE",2080032990,FALSE,FALSE,0,81,1,1.22743083175442,-0.433302246569946
"6","G10021","FIN",2080030100,TRUE,FALSE,0,144,0.8,0.18572178748654,-0.0401315567681734
"7","G10024","SWE",2080030160,FALSE,FALSE,0,225,0.75,-0.0747054735804297,0.465373615834106
"8","G10026","FIN",2080030100,TRUE,FALSE,0,144,0.8,0.18572178748654,-0.0401315567681734
"9","G10027","SWE",2080030220,FALSE,FALSE,0,36,0.428571428571429,-1.74888072329666,-0.714138453571212
"10","G10029","SWE",2080030160,FALSE,FALSE,0,100,0.588235294117647,-0.917264259385332,-0.314726959169411
"11","G10030","SWE",2080030220,FALSE,FALSE,0,49,0.4375,-1.70237585524899,-0.633007993770846
"12","G10036","SWE",2080030220,FALSE,FALSE,0,64,0.444444444444444,-1.66620540232302,-0.539395924770424
"13","G10037","SWE",2080030220,FALSE,FALSE,0,49,0.5,-1.37684177891528,-0.633007993770846
"14","G10038","SWE",2080030160,FALSE,FALSE,0,225,0.681818181818182,-0.429833556853571,0.465373615834106
"15","G10039","SWE",2080032980,FALSE,FALSE,0,81,0.9,0.70657630962048,-0.433302246569946
"16","G10040","SWE",2080030220,FALSE,FALSE,0,100,0.555555555555556,-1.08747815550753,-0.314726959169411
"17","G10043","SWE",2080030220,FALSE,FALSE,0,100,0.555555555555556,-1.08747815550753,-0.314726959169411
"18","G10045","FIN",2080030100,FALSE,FALSE,0,64,0.727272727272727,-0.193081501338143,-0.539395924770424
"19","G10046","SWE",2080030220,FALSE,FALSE,0,144,0.666666666666667,-0.508750908692046,-0.0401315567681734
"20","G10049","SWE",2080032500,FALSE,FALSE,0,196,0.875,0.576362679086995,0.28439028243329
"21","G10050","SWE",2080030220,TRUE,FALSE,0,81,0.5625,-1.05130770258157,-0.433302246569946
"22","G10053","SWE",2080030220,FALSE,FALSE,0,25,0.625,-0.725773626247854,-0.782787304171522
"23","G10055","SWE",2080030340,FALSE,FALSE,0,25,0.714285714285714,-0.260724945771122,-0.782787304171522
"24","G10056","SWE",2080030340,FALSE,FALSE,0,25,0.714285714285714,-0.260724945771122,-0.782787304171522
"25","G10057","SWE",2080030340,FALSE,FALSE,0,25,0.714285714285714,-0.260724945771122,-0.782787304171522
"26","G10058","SWE",2080030220,FALSE,FALSE,0,81,0.642857142857143,-0.632763890152508,-0.433302246569946
"27","G10061","SWE",2080030220,FALSE,FALSE,0,81,0.5625,-1.05130770258157,-0.433302246569946
"28","G10062","SWE",2080030220,FALSE,FALSE,0,64,0.5,-1.37684177891528,-0.539395924770424
"29","G10064","SWE",2080030160,FALSE,FALSE,0,169,0.684210526315789,-0.417372922352758,0.11588855823253
"30","G10068","SWE",2080030160,FALSE,FALSE,0,289,0.739130434782609,-0.13132009555151,0.864785110235906
"31","G10069","SWE",2080030220,FALSE,FALSE,0,49,0.636363636363636,-0.666585612368998,-0.633007993770846
"32","G1007","USA",7080047060,FALSE,FALSE,0,64,0.727272727272727,-0.193081501338143,-0.539395924770424
"33","G10074","SWE",2080030220,FALSE,FALSE,0,100,0.526315789473684,-1.23977479940635,-0.314726959169411
"34","G10076","SWE",2080032990,FALSE,FALSE,0,324,0.947368421052632,0.953296872736556,1.08321327123689
"35","G10078","SWE",2080030160,FALSE,FALSE,0,225,0.652173913043478,-0.584237071320153,0.465373615834106
"36","G10079","SWE",2080030160,FALSE,FALSE,0,81,0.75,-0.0747054735804297,-0.433302246569946
"37","G1008","USA",7080047060,FALSE,FALSE,0,225,0.833333333333333,0.359339961531187,0.465373615834106
"38","G10081","SWE",2080030160,FALSE,FALSE,0,529,0.766666666666667,0.0121036134418938,2.36257821424266
"39","G10082","SWE",2080030100,TRUE,FALSE,0,100,0.666666666666667,-0.508750908692046,-0.314726959169411
"40","G10086","SWE",2080030160,FALSE,FALSE,0,169,0.65,-0.595559995714369,0.11588855823253
"41","G10088","SWE",2080030160,FALSE,FALSE,0,225,0.652173913043478,-0.584237071320153,0.465373615834106
"42","G10092","SWE",2080030260,FALSE,FALSE,0,100,0.769230769230769,0.0254588575991743,-0.314726959169411
"43","G10093","SWE",2080030260,FALSE,FALSE,0,100,0.769230769230769,0.0254588575991743,-0.314726959169411
