"","Site","bins","bin.lag","sqID","Quarter","taxnovel","funcnovel","Country","HydroBasin","BioRealm","TS_Length","Yrs_passed","Yr_pos","bin.lagS","Yrs_passedS","logYr_posS"
"G100 Q4-1.1","G100",2014,1,"G100 Q4-1","4-1",FALSE,FALSE,"COL",6080000740,"Neotropics",6,1,1,-0.363741396702176,-1.03089049838515,-1.99327806845616
"G100 Q4-1.2","G100",2016,1,"G100 Q4-1","4-1",FALSE,FALSE,"COL",6080000740,"Neotropics",6,3,2,-0.363741396702176,-0.715952315923915,-1.14744256224869
"G100 Q4-1.3","G100",2018,1,"G100 Q4-1","4-1",FALSE,FALSE,"COL",6080000740,"Neotropics",6,5,3,-0.363741396702176,-0.401014133462681,-0.652660509338816
"G100 Q4-1.4","G100",2015,1,"G100 Q4-1","4-1",FALSE,FALSE,"COL",6080000740,"Neotropics",6,2,4,-0.363741396702176,-0.873421407154532,-0.301607056041211
"G100 Q4-1.5","G100",2017,1,"G100 Q4-1","4-1",FALSE,FALSE,"COL",6080000740,"Neotropics",6,4,5,-0.363741396702176,-0.558483224693298,-0.029308842939751
"G100 Q4-1.6","G100",2013,1,"G100 Q4-1","4-1",FALSE,FALSE,"COL",6080000740,"Neotropics",6,0,6,-0.363741396702176,-1.18835958961577,0.193174996868658
"G10003 Q4.7","G10003",2004,2,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,7,1,0.526775990918376,-0.0860759510014465,-1.99327806845616
"G10003 Q4.8","G10003",2006,2,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,9,2,0.526775990918376,0.228862231459788,-1.14744256224869
"G10003 Q4.9","G10003",2009,1,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,12,3,-0.363741396702176,0.701269505151639,-0.652660509338816
"G10003 Q4.10","G10003",2002,2,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,5,4,0.526775990918376,-0.401014133462681,-0.301607056041211
"G10003 Q4.11","G10003",2013,1,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,16,5,-0.363741396702176,1.33114587007411,-0.029308842939751
"G10003 Q4.12","G10003",1997,1,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,0,6,-0.363741396702176,-1.18835958961577,0.193174996868658
"G10003 Q4.13","G10003",2017,1,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,20,7,-0.363741396702176,1.96102223499658,0.381282403146479
"G10003 Q4.14","G10003",2018,1,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,21,8,-0.363741396702176,2.11849132622719,0.544228450166263
"G10003 Q4.15","G10003",2012,2,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,15,9,0.526775990918376,1.17367677884349,0.687957049778528
"G10003 Q4.16","G10003",1999,2,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,2,10,0.526775990918376,-0.873421407154532,0.816526663267724
"G10003 Q4.17","G10003",2010,1,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,13,11,-0.363741396702176,0.858738596382256,0.932832025884061
"G10003 Q4.18","G10003",2016,1,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,19,12,-0.363741396702176,1.80355314376596,1.03901050307613
"G10003 Q4.19","G10003",2014,1,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,17,13,-0.363741396702176,1.48861496130472,1.13668523372795
"G10003 Q4.20","G10003",2000,1,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,3,14,-0.363741396702176,-0.715952315923915,1.22711790935395
"G10003 Q4.21","G10003",2015,1,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,18,15,-0.363741396702176,1.64608405253534,1.31130871617759
"G10003 Q4.22","G10003",2008,2,"G10003 Q4","4",FALSE,FALSE,"SWE",2080030160,"Palearctic",16,11,16,0.526775990918376,0.543800413921022,1.39006395637374
