"","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","troph_level"
"MBl",1.78034309337554,1.78034309337554,1.78034309337554,1.78034309337554,1.78034309337554,1.78034309337554,1.78034309337554,1.78034309337554,1.78034309337554,1.78034309337554,1.78034309337554
"BEl",2.53232035357401,2.532320353574,2.532320353574,2.532320353574,2.532320353574,2.53232035357401,2.532320353574,2.53232035357401,2.53232035357401,2.53232035357401,2.53232035357401
"VEp",2.33972291185891,2.3397229118589,2.3397229118589,2.33972291185891,2.3397229118589,2.33972291185891,2.3397229118589,2.3397229118589,2.33972291185891,2.3397229118589,2.33972291185891
"REs",1.68980990016189,1.68980990016189,1.68980990016189,1.68980990016189,1.68980990016189,1.68980990016189,1.68980990016189,1.68980990016189,1.68980990016189,1.68980990016189,1.68980990016189
"OGp",1.89245935075638,1.89245935075638,1.89245935075638,1.89245935075638,1.89245935075638,1.89245935075638,1.89245935075638,1.89245935075638,1.89245935075638,1.89245935075638,1.89245935075638
"RMl",1.43713549816321,1.43713549816321,1.43713549816321,1.43713549816321,1.43713549816321,1.43713549816321,1.43713549816321,1.43713549816321,1.43713549816321,1.43713549816321,1.43713549816321
"BLs",1.84715387932336,1.84715387932336,1.84715387932336,1.84715387932336,1.84715387932336,1.84715387932336,1.84715387932336,1.84715387932336,1.84715387932336,1.84715387932336,1.84715387932336
"PFv",1.57348167687306,1.57348167687306,1.57348167687306,1.57348167687306,1.57348167687306,1.57348167687306,1.57348167687306,1.57348167687306,1.57348167687306,1.57348167687306,1.57348167687306
"PFs",1.93582602953935,1.93582602953935,1.93582602953935,1.93582602953935,1.93582602953934,1.93582602953935,1.93582602953934,1.93582602953934,1.93582602953935,1.93582602953935,1.93582602953935
"CPt",1.15381769508741,1.15381769508742,1.15381769508742,1.15381769508742,1.15381769508742,1.15381769508742,1.15381769508741,1.15381769508742,1.15381769508742,1.15381769508742,1.15381769508742
"troph_level",1.39043109105627,1.39043109105627,1.39043109105627,1.39043109105627,1.39043109105627,1.39043109105627,1.39043109105627,1.39043109105627,1.39043109105627,1.39043109105627,1.39043109105627
