"","SpecCode","Suporder","Order","Family","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","Type.of.illustration","Reference","Species"
"1",16239,"Teleostei","Cypriniformes","Cyprinidae",130,4.579113208,0.622641509,0.375019452,0.622641509,0.868658575,0.484981132,0.273584906,0.144107988,3.348990674,"Drawing","Unpublished","Aaptosyax grypus"
"2",2347,"Teleostei","Perciformes","Cichlidae",11.5,2.796068122,0.650699684,0.353779918,0.509799593,0.411156891,0.722460802,0.330169369,0.221095165,2.52559229,"Photograph","Oliver, M. K. (1997 and after.) The Cichlid Fishes of Lake Malawi, Africa. (https://malawicichlids.com/index.htm)","Abactochromis labrosus"
"3",55145,"Teleostei","Cypriniformes","Cyprinidae",6.6,4.564328663,0.518186798,0.312002053,0.203985189,0.413220558,0.591495007,0.105517091,0.188192832,2.104580281,"Drawing","Wu, X. (1964) The Cyprinid Fishes of China. (In Chinese).
Chu, X., Chen, Y. (1989) The Fishes of Yunnan, China, Part I. Science Press, Beijing. (In Chinese).
Chu, X., Chen, Y. (1990) The Fishes of Yunnan, China, Part II. Science Press, Beijing. (In Chinese).
Ding, R. (1994) The Fishes of Sichuan, China. Sichuan Sciences and Technology Press, Chengdu. (In Chinese).","Abbottina liaoningensis"
"4",55143,"Teleostei","Cypriniformes","Cyprinidae",10.9,4.390421849,0.548246779,0.244804397,0.168959411,0.324728245,0.642991085,0.097450038,0.193048515,1.787062437,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Abbottina obtusirostris"
"5",22903,"Teleostei","Cypriniformes","Cyprinidae",18.9,4.410270702,0.542352862,0.292058213,0.183790427,0.398566603,0.685672223,0.087642712,0.170648307,2.968905553,"Photograph","Kano Y, Adnan MSB, Grudpan C, Grudpan J, Magtoon W, Musikasinthorn P, Natori Y, Ottomanski S, Praxaysonbath B, Phongsa K, Rangsiruji A, Shibukawa K, Shimatani Y, So N, Suvarnaraksha A, Thach P, Thanh PN, Tran DD, Utsugi K, Yamashita T (2013) An online database on freshwater fish diversity and distribution in Mainland Southeast Asia. (http://ffish.asia)","Abbottina rivularis"
"6",24523,"Teleostei","Cypriniformes","Cyprinidae",8.1,7.215007387,0.701419255,0.292682927,0.313400093,0.393292683,0.611876371,0.179085767,0.156984296,1.603954046,"Drawing","Wu, X. (1964) The Cyprinid Fishes of China. (In Chinese).
Chu, X., Chen, Y. (1989) The Fishes of Yunnan, China, Part I. Science Press, Beijing. (In Chinese).
Chu, X., Chen, Y. (1990) The Fishes of Yunnan, China, Part II. Science Press, Beijing. (In Chinese).
Ding, R. (1994) The Fishes of Sichuan, China. Sichuan Sciences and Technology Press, Chengdu. (In Chinese).","Aborichthys kempi"
"7",268,"Teleostei","Cypriniformes","Cyprinidae",82,2.546312456,0.546875558,0.341575092,0.512381063,0.26297763,0.398473812,0.36893787,0.194460833,3.01447933,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Abramis brama"
"8",14737,"Teleostei","Characiformes","Anostomidae",18.5,2.754541467,0.386362758,0.62962963,0.386362758,0.233600823,0.276135736,0.222730176,0.164688395,NA,"Photograph","Unpublished","Abramites eques"
"9",10768,"Teleostei","Characiformes","Anostomidae",14,2.951111516,0.396532958,0.468741005,0.482063585,0.136261585,0.395963096,0.23537591,0.167899294,3.077439645,"Photograph","Unpublished","Abramites hypselonotus"
"10",48039,"Teleostei","Scorpaeniformes","Abyssocottidae",NA,4.366790395,0.652172815,0.306421943,0.478259223,0.726689286,0.617705729,0.583844658,0.147179914,1.446118697,"Drawing","Zoological Excurtions around Lake Baikal (zooex.baikal.ru)","Abyssocottus elochini"
"11",48040,"Teleostei","Scorpaeniformes","Abyssocottidae",14,4.020500914,0.667440597,0.177766424,0.542483822,1.055947492,0.628451811,0.460220817,0.205315345,1.966335453,"Drawing","Zoological Excurtions around Lake Baikal (zooex.baikal.ru)","Abyssocottus gibbosus"
"12",47208,"Teleostei","Scorpaeniformes","Abyssocottidae",13,6.691192371,0.636910538,0.281133449,0.505974328,NA,0.609520113,0.547614427,0.156216077,2.507995488,"Drawing","Zoological Excurtions around Lake Baikal (zooex.baikal.ru)","Abyssocottus korotneffi"
