"","Species","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","troph_level"
"1","Abramis brama",82,2.546312456,0.546875558,0.341575092,0.512381063,0.26297763,0.398473812,0.36893787,0.194460833,3.01447933,3.05
"2","Acestrorhynchus lacustris",27,4.289617918,0.616108251,0.44198177,0.560704125,1.171920638,0.548239631,0.193728844,0.168093255,4.340981595,4.3
"3","Acestrorhynchus pantaneiro",35.2,4.178191439,0.556195819,0.454465121,0.506526585,1.225987511,0.517677121,0.202195925,0.182729549,3.95635534,4.3
"4","Acipenser fulvescens",274,6.717066703,0.429329131,0.288916469,0,0.260746925,0.510963353,0,0.157251327,4.662817348,3.27999997138977
"5","Acipenser transmontanus",610,5.827969707,0.262068614,0.193794643,0,0.203776786,0.407594356,0,0.16240453,4.486984957,3.25
"6","Acrocheilus alutaceus",30,4.271517544,0.413552632,0.414948996,0.313236842,0.281873439,0.583035088,0.219298246,0.14021271,3.539973055,2.13
"7","Ageneiosus inermis",64.8,4.843402617,0.441368551,0.239799389,0.554374794,0.882506301,0.546075194,0.384341556,0.191017425,2.928035757,3.98
"8","Agosia chrysogaster",10,4.076567136,0.484752806,0.390921303,0.318027165,0.429127196,0.520074036,0.300734007,0.188719517,1.943681715,2.9
"9","Alburnoides bipunctatus",18.5,3.512796769,0.525739563,0.623262053,0.488984023,0.580383492,0.451359456,0.268386674,0.204675647,3.342143807,2.89
"10","Alburnus alburnus",25,4.253526855,0.559971056,0.540985824,0.559971056,0.441100168,0.429576461,0.2766026,0.152191702,1.942321838,2.70000004768372
"11","Alestes baremoze",43,4.076522054,0.552255315,0.571636146,0.612738565,0.248317272,0.424307539,0.319751575,0.185787999,4.097104898,3.05
"12","Alosa alosa",83,3.910500536,0.531244891,0.386758926,0.425779382,0.779108774,0.546883987,0.144566277,0.158360041,3.053753725,2.95
"13","Alosa chrysochloris",50,3.794577156,0.652789513,0.39763413,0.642865555,0.737591048,0.561015951,0.18814041,0.146598491,2.570926861,3.89
"14","Alosa fallax",60,3.626264914,0.584315807,0.36249818,0.546593042,0.866203692,0.471669221,0.192536818,0.1380103,3.533629851,4.03
"15","Alosa pseudoharengus",40,3.746848258,0.608067173,0.371959829,0.645928247,0.679863283,0.608870676,0.199791089,0.127512792,2.666674614,3.39
"16","Alosa sapidissima",76,3.531895272,0.552868003,0.351030888,0.507560017,0.813165729,0.492453578,0.181367895,0.163029455,3.793900818,3.48
"17","Ambassis agassizii",8,2.758243586,0.510690673,0.496479313,0.604274606,0.555532408,0.598802445,0.307522142,0.230217237,2.792177326,3.3
"18","Ambassis marianus",10,2.724461056,0.430526243,0.527202703,0.499904068,0.368851351,0.567915826,0.338685045,0.117670423,2.660641509,3.4
"19","Ambloplites rupestris",43,2.514466546,0.524442688,0.385614211,0.417820293,0.497698274,0.607382193,0.342235628,0.196628382,2.313312287,3.43
"20","Ameiurus brunneus",29,4.230844064,0.530260362,0.346760551,0.306917386,0.458255224,0.559919101,0.32942065,0.165453434,1.978334006,3.4
"21","Ameiurus catus",95,4.408698732,0.510909129,0.26321762,0.443448422,0.390736319,0.603220805,0.273872555,0.1777031,2.376083333,3.18
"22","Ameiurus melas",66,4.10148913,0.48507337,0.210539107,0.404241848,0.326590325,0.570236413,0.389497283,0.157155275,2.213600411,3.81
"23","Ameiurus natalis",60,5.294514852,0.685748816,0.21082667,0.576156738,0.45424942,0.687800064,0.300934704,0.161264652,1.885352967,3.33
"24","Ameiurus nebulosus",55,3.969638561,0.463754674,0.268012891,0.345555201,0.503887887,0.490174198,0.347816005,0.153249389,1.839310528,3.68
"25","Amia calva",109,4.835800737,0.566364057,0.239979202,0.426656985,0.98276816,0.564385118,0.203431917,0.125053001,1.36475708,3.81
"26","Ammocrypta clara",7.1,7.183510638,0.425466729,0.590915319,0.157762307,0.659975336,0.570869837,0.425466729,0.14737824,1.933787808,3.3
"27","Ammocrypta vivax",7.3,7.64957883,0.689463135,0.482758621,0.457832242,0.578293103,0.735779165,0.511632922,0.109765987,1.637427198,3.3
"28","Amniataba percoides",18,2.598045877,0.43855936,0.518725926,0.276024412,0.388874074,0.405856357,0.312160659,0.195897189,2.608495982,2.79
"29","Anguilla anguilla",133,16.2191429,0.821233167,0.249665422,0.720516313,0.394942594,0.634091873,0.604546774,0.04466753,0,3.55
"30","Anguilla australis",130,11.91949332,0.573910584,0.311512112,0.500616174,0.374647383,0.451180832,0.573910584,0.037081167,0,4.28
"31","Anguilla reinhardtii",200,8.025158672,0.487382522,0.292541908,0.386335896,0.593610915,0.366791773,0.52447211,0.065195694,0,3.55
"32","Anguilla rostrata",152,16.53261822,0.32608484,0.31401802,0.152306862,1.064214618,0.393905601,0.577587199,0.037438892,0,3.83
"33","Aphredoderus sayanus",14,3.188930891,0.581351168,0.321428571,0.572288456,0.287946429,0.542793448,0.409644276,0.179561218,2.404761905,3.14
"34","Aplodinotus grunniens",95,2.771378151,0.437381228,0.381944444,0.221978663,0.545482639,0.42003019,0.410993707,0.223393187,2.734042553,3.36
"35","Astronotus crassipinnis",24,1.870159451,0.469524186,0.293550852,0.379556226,0.444583617,0.453896945,0.388464319,0.274854635,1.874929584,3
"36","Astyanax lacustris",7.7,2.630430971,0.558447672,0.414012739,0.525980351,0.438751592,0.50973695,0.178570269,0.209845244,3.390804598,2.9
"37","Astyanax mexicanus",12,2.803642439,0.493886355,0.440611385,0.516996332,0.262159846,0.480657768,0.141085866,0.148993573,2.981330328,3.23
"38","Atractosteus spatula",305,6.670873634,0.61647139,0.35483871,0.61647139,2.51383871,0.406280307,0.359964352,0.094015532,2.15,4.02
"39","Auchenipterus osteomystax",39,4.511872786,0.274447167,0.510871577,0.338350825,0.443647502,0.375280785,0.230597834,0.123774153,2.635863467,3.6
"40","Auchenoglanis occidentalis",70,4.28281183,0.546839013,0.210480017,0,0.319455386,0.666999448,0.316571649,0.206441059,3.243004719,2.9
"41","Ballerus ballerus",40,3.038215688,0.453846291,0.42853271,0.440269744,0.380661991,0.351679644,0.303461752,0.173014329,2.800809928,3.21
"42","Barbatula barbatula",21,6.724161164,0.489219782,0.30066,0,NA,0.673763644,0,0.144789579,1.754811321,3.28
"43","Barbatula toni",16,5.46,0.446466667,0.261306202,0,NA,0.573333333,0,0.138528694,1.860930187,2.6
"44","Barbus barbus",120,4.068372397,0.371264757,0.23787234,0,0.298638298,0.388291764,0.239724726,0.155661105,2.304620804,3.1
"45","Barbus meridionalis",27,4.429396308,0.627147112,0.369288025,0.389645339,0.424999824,0.529538889,0.303137527,0.195501026,2.20932337,2.93
"46","Blicca bjoerkna",45.5,2.485815404,0.459238245,0.503950374,0.36573788,0.331276177,0.354092467,0.308156845,0.17880226,2.999490653,3.17
"47","Brycinus imberi",20,2.840258306,0.566828108,0.434038488,0.654249056,0.341940767,0.444691259,0.205236517,0.208475612,3.620893334,3.26
"48","Bryconalestes longipinnis",16.4,2.935097033,0.440535356,0.523954547,0.463466429,0.40933949,0.544938657,0.172482712,0.197971734,3.557371748,2.22
"49","Brycinus macrolepidotus",53,3.23275153,0.526181128,0.376188172,0.625983886,0.503887097,0.346104464,0.28203234,0.19310107,3.096534887,2.75
"50","Brycinus nurse",25,3.659040535,0.472812653,0.590817334,0.542894173,0.352259051,0.58993576,0.121484654,0.184485626,3.174289642,2.46
"51","Brycon orbignyanus",80,2.948655648,0.443177065,0.334315442,0.429664205,0.562938291,0.391881936,0.183062089,0.181159402,2.897504925,2.7
"52","Campostoma anomalum",22,4.069878145,0.540899385,0.2304875,0.204529035,0.4791,0.642188579,0.22954228,0.153619026,2.45290566,2
