"","Species","troph_level","troph_cat"
"1","Acestrorhynchus lacustris",4.3,"Est"
"2","Acestrorhynchus pantaneiro",4.3,"Est"
"3","Afurcagobius tamarensis",3.3,"Est"
"4","Ageneiosus militaris",3.7,"Est"
"5","Alosa agone",3.8,"Est"
"6","Ambloplites constellatus",3.5,"Est"
"7","Ameiurus brunneus",3.4,"Est"
"8","Ameiurus platycephalus",3.4,"Est"
"9","Ammocrypta clara",3.3,"Est"
"10","Ammocrypta vivax",3.3,"Est"
"11","Apareiodon affinis",2.2,"Est"
"12","Apteronotus ellisi",3.3,"Est"
"13","Arrhamphus sclerolepis",3.1,"Est"
"14","Astroblepus chapmani",3.3,"Est"
"15","Astroblepus grixalvii",3.4,"Est"
"16","Astroblepus micrescens",3.3,"Est"
"17","Astronotus crassipinnis",3,"Est"
"18","Astyanax lacustris",2.9,"Est"
"19","Auchenipterus osteomystax",3.6,"Est"
"20","Barbatula quignardi",2.8,"Est"
"21","Barbatula toni",2.6,"Est"
"22","Brycon henni",2.8,"Est"
"23","Bryconamericus caucanus",2.6,"Est"
"24","Campylomormyrus tamandua",3.2,"Est"
"25","Carpiodes velifer",2.4,"Est"
"26","Catathyridium jenynsii",3.3,"Est"
"27","Catostomus clarkii",2.8,"Est"
"28","Catostomus insignis",3.2,"Est"
"29","Catostomus latipinnis",2.8,"Est"
"30","Chaetostoma fischeri",NA,"Est"
"31","Chaetostoma eucomelas",NA,"Est"
"32","Chaetostoma thomsoni",NA,"Est"
"33","Characidium caucanum",3.5,"Est"
"34","Characidium phoxocephalum",3.6,"Est"
"35","Chrosomus erythrogaster",2.5,"Est"
"36","Cichla kelberi",4.4,"Est"
"37","Cichla piquiti",4.2,"Est"
"38","Citharinus eburneensis",2.4,"Est"
"39","Cobitis bilineata",3.3,"Est"
"40","Cobitis elongatoides",3.3,"Est"
"41","Coptodon dageti",2.4,"Est"
"42","Cottus amblystomopsis",3.3,"Est"
"43","Cottus caeruleomentum",3.2,"Est"
"44","Cottus carolinae",3.3,"Est"
"45","Cottus girardi",3.3,"Est"
"46","Cottus hangiongensis",3.3,"Est"
"47","Cottus nozawae",3.3,"Est"
"48","Cottus perplexus",3.2,"Est"
"49","Crenicichla haroldoi",3.2,"Est"
"50","Crenicichla jaguarensis",3.2,"Est"
"51","Crenicichla niederleinii",3.2,"Est"
"52","Crystallaria asprella",3.5,"Est"
"53","Ctenopoma kingsleyae",3.2,"Est"
"54","Cycleptus elongatus",3.1,"Est"
"55","Cyphocharax modestus",NA,"Est"
"56","Cyphocharax naegelii",NA,"Est"
"57","Cyprinella galactura",3.2,"Est"
"58","Cyprinodon pecosensis",2.7,"Est"
"59","Cyprinodon rubrofluviatilis",2.6,"Est"
"60","Elassoma zonatum",3.7,"Est"
"61","Enteromius chlorotaenia",3,"Est"
"62","Enteromius foutensis",3,"Est"
