"","SourceID","SiteID","TimeSeriesID","Protocol","Latitude","Longitude","BioRealm","HydroBasin","Country","Region","Province","Waterbody","X"
"1",4,"S11497","G131","Electrofishing_backpack",46.80208,17.74633,"Palearctic",2080008490,"HUN","SOMOGY","BALATONFOLDVARI","TETVES-PATAK","CORREGO JAGUARA"
"2",4,"S11617","G133","Electrofishing_backpack",46.7293,17.77965,"Palearctic",2080008490,"HUN","SOMOGY","FONYOD","TETVES-PATAK","CORREGO DA ROCA"
"3",4,"S10086","G118","Electrofishing_backpack",46.65607,17.61296,"Palearctic",2080008490,"HUN","SOMOGY","LENGYELTOTI","POGANYVOLGYI-VIZFOLYAS","OURO"
"4",4,"S5106","G144","Electrofishing_backpack",46.91515,17.5297,"Palearctic",2080008490,"HUN","VESZPREM","TAPOLCA","EGER-VIZ","PINHEIROS"
"5",4,"S5554","G145","Electrofishing_backpack",46.92735,17.56304,"Palearctic",2080008490,"HUN","VESZPREM","TAPOLCA","EGER-VIZ","AGUA PARADA"
"6",4,"S11734","G134","Electrofishing_backpack",46.99218,17.64639,"Palearctic",2080008490,"HUN","VESZPREM","VESZPREM","VAZSONYI-SED","PINHEIROS"
"7",4,"S6470","G103","Electrofishing_backpack",46.80658,17.463,"Palearctic",2080008490,"HUN","VESZPREM","TAPOLCA","EGER-VIZ","CERRITO"
"8",4,"S11150","G128","Electrofishing_backpack",46.80685,17.42967,"Palearctic",2080008490,"HUN","VESZPREM","TAPOLCA","TAPOLCA-PATAK","ESCANGALHADO"
"9",4,"S11860","G140","Electrofishing_backpack",46.85027,16.62968,"Palearctic",2080008490,"HUN","ZALA","PACSA/ZALAEGERSZEG","ZALA",""
"10",5,"S6003","G146","Electrofishing_boat",39.86131,-86.87111,"Nearctic",7080047060,"USA","INDIANA","PUTNAM","BIG RACOON CREEK",""
"11",5,"S11877","G150","Electrofishing_boat",39.83563,-86.93486,"Nearctic",7080047060,"USA","INDIANA","PUTNAM","BIG RACOON CREEK",""
"12",5,"S11985","G151","Electrofishing_boat",39.82697,-86.93788,"Nearctic",7080047060,"USA","INDIANA","PUTNAM","BIG RACOON CREEK",""
"13",5,"S12219","G152","Electrofishing_boat",39.81753,-86.95239,"Nearctic",7080047060,"USA","INDIANA","PUTNAM","BIG RACOON CREEK",""
"14",5,"S12292","G153","Electrofishing_boat",39.80869,-86.9599,"Nearctic",7080047060,"USA","INDIANA","PUTNAM","BIG RACOON CREEK",""
"15",5,"S9153","G147","Electrofishing_boat",39.85278,-86.89267,"Nearctic",7080047060,"USA","INDIANA","PUTNAM","BIG RACOON CREEK",""
"16",5,"S10447","G148","Electrofishing_boat",39.84612,-86.92014,"Nearctic",7080047060,"USA","INDIANA","PUTNAM","BIG RACOON CREEK",""
"17",5,"S11610","G149","Electrofishing_boat",39.83183,-86.92827,"Nearctic",7080047060,"USA","INDIANA","PUTNAM","BIG RACOON CREEK",""
"18",6,"S7869","G155","Electrofishing_backpack",-26.29785,152.9304,"Australasia",5080070220,"AUS","QUEENSLAND","NOOSA BAL","SANDY CREEK",""
"19",6,"S7871","G157","Electrofishing_backpack",-26.3508,152.9697,"Australasia",5080070220,"AUS","QUEENSLAND","NOOSA BAL","RINGTAIL CREEK",""
"20",6,"S7872","G158","Electrofishing_backpack",-26.4125,153.096,"Australasia",5080070230,"AUS","QUEENSLAND","NOOSA - NOOSA-NOOSAVILLE","BURGESS CREEK",""
"21",6,"S7994","G163","Electrofishing_backpack",-26.4836,153.0545,"Australasia",5080070230,"AUS","QUEENSLAND","MAROOCHY","DOONAN CREEK",""
