"","Site","Country","HydroBasin","taxnovel","funcnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"1","G10003","SWE",2080030160,FALSE,FALSE,0,256,0.727272727272727,-0.133238411232481,0.643366228146887
"2","G10008","SWE",2080030340,FALSE,FALSE,0,25,0.714285714285714,-0.200483037077037,-0.779638836941463
"3","G10016","SWE",2080030160,FALSE,FALSE,0,289,0.739130434782609,-0.0718411441570174,0.846652666016651
"4","G10019","SWE",2080032990,FALSE,FALSE,0,81,1,1.2788987315032,-0.43466791207156
"5","G10021","FIN",2080030100,TRUE,TRUE,1,144,0.8,0.243331493497033,-0.0465756215929189
"6","G10024","SWE",2080030160,FALSE,FALSE,0,225,0.75,-0.0155603160045082,0.452400180451048
"7","G10026","FIN",2080030100,TRUE,FALSE,0,144,0.8,0.243331493497033,-0.0465756215929189
"8","G10027","SWE",2080030220,FALSE,FALSE,0,36,0.428571428571429,-1.67986480565727,-0.711876690984875
"9","G10029","SWE",2080030160,FALSE,FALSE,0,100,0.588235294117647,-0.853151464391847,-0.317624205419271
"10","G10030","SWE",2080030220,FALSE,FALSE,0,49,0.4375,-1.63363412538914,-0.631794154854362
"11","G10036","SWE",2080030220,FALSE,FALSE,0,64,0.444444444444444,-1.59767692962504,-0.539391228549923
"12","G10037","SWE",2080030220,FALSE,FALSE,0,49,0.5,-1.31001936351221,-0.631794154854362
"13","G10038","SWE",2080030160,FALSE,TRUE,0,225,0.681818181818182,-0.368594601688428,0.452400180451048
"14","G10039","SWE",2080032980,FALSE,FALSE,0,81,0.9,0.761115112500115,-0.43466791207156
"15","G10040","SWE",2080030220,FALSE,FALSE,0,100,0.555555555555556,-1.02236179739939,-0.317624205419271
"16","G10043","SWE",2080030220,FALSE,FALSE,0,100,0.555555555555556,-1.02236179739939,-0.317624205419271
"17","G10045","FIN",2080030100,FALSE,FALSE,0,64,0.727272727272727,-0.133238411232481,-0.539391228549923
"18","G10046","SWE",2080030220,FALSE,FALSE,0,144,0.666666666666667,-0.447046665173744,-0.0465756215929189
"19","G10049","SWE",2080032500,FALSE,FALSE,0,196,0.875,0.631669207749345,0.273754522929134
