"","Site","Country","HydroBasin","taxnovel","trophnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"1","G10003","SWE","2080030160",FALSE,FALSE,0,256,0.727272727272727,-0.167715368048941,0.753771995919846
"2","G10008","SWE","2080030340",FALSE,FALSE,0,25,0.714285714285714,-0.235074542743421,-0.774774040080972
"3","G10016","SWE","2080030160",FALSE,FALSE,0,289,0.739130434782609,-0.106213512893111,0.972135715348535
"4","G10019","SWE","2080032990",FALSE,FALSE,0,81,1,1.24682730053516,-0.404217425292895
"5","G10021","FIN","2080030100",TRUE,FALSE,0,144,0.8,0.209496010240152,0.0126587663436921
"6","G10024","SWE","2080030160",FALSE,FALSE,0,225,0.75,-0.0498368123335991,0.548642441305018
"7","G10026","FIN","2080030100",TRUE,FALSE,0,144,0.8,0.209496010240152,0.0126587663436921
"8","G10027","SWE","2080030220",FALSE,FALSE,0,36,0.428571428571429,-1.716976386022,-0.701986133604742
"9","G10029","SWE","2080030160",FALSE,FALSE,0,100,0.588235294117647,-0.888854767719265,-0.278492859561226
"10","G10030","SWE","2080030220",FALSE,FALSE,0,49,0.4375,-1.67066695341955,-0.615964062314653
"11","G10036","SWE","2080030220",FALSE,FALSE,0,64,0.444444444444444,-1.63464850583986,-0.516707826210704
"12","G10037","SWE","2080030220",FALSE,FALSE,0,49,0.5,-1.34650092520236,-0.615964062314653
"13","G10038","SWE","2080030160",FALSE,FALSE,0,225,0.681818181818182,-0.403472479479624,0.548642441305018
"14","G10039","SWE","2080032980",FALSE,FALSE,0,81,0.9,0.728161655387655,-0.404217425292895
"15","G10040","SWE","2080030220",FALSE,FALSE,0,100,0.555555555555556,-1.05835334456485,-0.278492859561226
"16","G10043","SWE","2080030220",FALSE,FALSE,0,100,0.555555555555556,-1.05835334456485,-0.278492859561226
"17","G10045","FIN","2080030100",FALSE,FALSE,0,64,0.727272727272727,-0.167715368048941,-0.516707826210704
"18","G10046","SWE","2080030220",FALSE,FALSE,0,144,0.666666666666667,-0.482058183289852,0.0126587663436921
"19","G10049","SWE","2080032500",FALSE,FALSE,0,196,0.875,0.598495244100779,0.356747051504049
"20","G10050","SWE","2080030220",TRUE,FALSE,0,81,0.5625,-1.02233489698517,-0.404217425292895
"21","G10053","SWE","2080030220",FALSE,FALSE,0,25,0.625,-0.698168868767978,-0.774774040080972
"22","G10055","SWE","2080030340",FALSE,FALSE,0,25,0.714285714285714,-0.235074542743421,-0.774774040080972
"23","G10056","SWE","2080030340",FALSE,FALSE,0,25,0.714285714285714,-0.235074542743421,-0.774774040080972
"24","G10057","SWE","2080030340",FALSE,FALSE,0,25,0.714285714285714,-0.235074542743421,-0.774774040080972
"25","G10058","SWE","2080030220",FALSE,FALSE,0,81,0.642857142857143,-0.605550003563066,-0.404217425292895
"26","G10061","SWE","2080030220",FALSE,FALSE,0,81,0.5625,-1.02233489698517,-0.404217425292895
"27","G10062","SWE","2080030220",FALSE,FALSE,0,64,0.5,-1.34650092520236,-0.516707826210704
"28","G10064","SWE","2080030160",FALSE,FALSE,0,169,0.684210526315789,-0.391064210456956,0.178085826516941
"29","G10068","SWE","2080030160",FALSE,FALSE,0,289,0.739130434782609,-0.106213512893111,0.972135715348535
"30","G10069","SWE","2080030220",FALSE,FALSE,0,49,0.636363636363636,-0.639229590910307,-0.615964062314653
"31","G1007","USA","7080047060",FALSE,FALSE,0,64,0.727272727272727,-0.167715368048941,-0.516707826210704
"32","G10074","SWE","2080030220",FALSE,FALSE,0,100,0.526315789473684,-1.21000996595301,-0.278492859561226
"33","G10076","SWE","2080032990",FALSE,FALSE,0,324,0.947368421052632,0.973845382036472,1.20373359959108
