"","Site","Country","HydroBasin","taxnovel","trophnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"1","G10021","FIN","2080030100",TRUE,FALSE,0,144,0.8,0.209496010240152,0.0126587663436921
"2","G10026","FIN","2080030100",TRUE,FALSE,0,144,0.8,0.209496010240152,0.0126587663436921
"3","G10050","SWE","2080030220",TRUE,FALSE,0,81,0.5625,-1.02233489698517,-0.404217425292895
"4","G10082","SWE","2080030100",TRUE,FALSE,0,100,0.666666666666667,-0.482058183289852,-0.278492859561226
"5","G10109","SWE","2080032990",TRUE,FALSE,0,529,0.851851851851852,0.478433752168487,2.56023549301172
"6","G10172","SWE","2080030160",TRUE,FALSE,0,361,0.826086956521739,0.344800091582979,1.44856564864749
"7","G10181","SWE","2080030160",TRUE,FALSE,0,125,0.572649572649573,-0.969692550522546,-0.113065799387977
"8","G10184","SWE","2080030160",TRUE,FALSE,0,170,0.703460038986355,-0.291223601376418,0.184702908923871
"9","G10186","SWE","2080030160",TRUE,FALSE,0,170,0.703460038986355,-0.291223601376418,0.184702908923871
"10","G10247","SWE","2080030100",TRUE,FALSE,0,400,0.869565217391304,0.570306893821024,1.70663186251776
"11","G10262","SWE","2080033020",TRUE,FALSE,0,324,0.75,-0.0498368123335991,1.20373359959108
"12","G10291","SWE","2080033020",TRUE,TRUE,0,289,0.772727272727273,0.0680417433817423,0.972135715348535
"13","G10319","SWE","2080033020",TRUE,FALSE,0,1024,0.744186046511628,-0.07999179170264,5.83569128444205
"14","G1032","USA","7080047060",TRUE,FALSE,0,557,0.896345811051693,0.709208632704011,2.74551380040576
"15","G10322","SWE","2080033020",TRUE,FALSE,0,729,0.613636363636364,-0.757108146625648,3.88365197439771
"16","G10328","SWE","2080033020",TRUE,FALSE,0,225,0.833333333333333,0.382384558622653,0.548642441305018
"17","G10337","SWE","2080033020",TRUE,FALSE,0,361,0.863636363636364,0.539555966243109,1.44856564864749
"18","G10363","SWE","2080033020",TRUE,TRUE,1,441,0.875,0.598495244100779,1.97793224120189
"19","G1038","USA","7080047060",TRUE,FALSE,0,502,0.829594017094017,0.362990009925899,2.38157426802461
"20","G1039","USA","7080047060",TRUE,TRUE,0,544,0.875,0.598495244100779,2.65949172911567
"21","G1041","USA","7080047060",TRUE,TRUE,0,569,0.947474747474747,0.974396860659702,2.82491878928892
"22","G10423","SWE","2080032280",TRUE,FALSE,0,49,0.7,-0.309169634907351,-0.615964062314653
"23","G10479","SWE","2080033120",TRUE,TRUE,0,324,0.9,0.728161655387655,1.20373359959108
"24","G10504","SWE","2080032230",TRUE,FALSE,0,100,0.769230769230769,0.0499065809639978,-0.278492859561226
"25","G10527","SWE","2080033120",TRUE,FALSE,0,169,0.866666666666667,0.555273107005154,0.178085826516941
"26","G10538","SWE","2080033120",TRUE,FALSE,0,1681,0.872340425531915,0.584700945027708,10.183114425795
