Species,Trophic_level,Cat
Acestrorhynchus_lacustris,4.3,Est
Acestrorhynchus_pantaneiro,4.3,Est
Agosia_chrysogaster,2.9,Est
Ambassis_marianus,3.4,Est
Ameiurus_brunneus,3.4,Est
Ammocrypta_clara,3.3,Est
Ammocrypta_vivax,3.3,Est
Astronotus_crassipinnis,3,Est
Astyanax_lacustris,2.9,Est
Auchenipterus_osteomystax,3.6,Est
Barbatula_toni,2.6,Est
Brycon_orbignyanus,2.7,Est
Campostoma_pauciradii,,
Campylomormyrus_tamandua,3.2,Est
Carpiodes_velifer,2.4,Est
Catostomus_clarkii,2.8,Est
Catostomus_discobolus,2.8,Est
Catostomus_insignis,3.2,Est
Catostomus_latipinnis,2.8,Est
Catostomus_occidentalis,2.8,Est
Chrosomus_erythrogaster,2.5,Est
Cichla_kelberi,4.4,Est
Cichla_piquiti,4.2,Est
Cichlasoma_paranaense,3.3,Est
Citharinus_eburneensis,2.4,Est
Cobitis_bilineata,3.3,Est
Cobitis_elongatoides,3.3,Est
Cobitis_taenia,3.3,Est
Coptodon_dageti,2.4,Est
Cottus_amblystomopsis,3.3,Est
Cottus_caeruleomentum,3.2,Est
Cottus_carolinae,3.3,Est
Cottus_girardi,3.3,Est
Cottus_perplexus,3.2,Est
Crenicichla_haroldoi,3.2,Est
Crystallaria_asprella,3.5,Est
Ctenopoma_kingsleyae,3.2,Est
Cycleptus_elongatus,3.1,Est
Cyphocharax_modestus,,
Cyphocharax_naegelii,,
Cyprinella_galactura,3.2,Est
Cyprinella_lepida,3.1,Est
Cyprinella_monacha,3.2,Est
Cyprinella_proserpina,3.1,Est
Cyprinella_whipplei,3.2,Est
Cyprinodon_pecosensis,2.7,Est
Cyprinodon_rubrofluviatilis,2.6,Est
Dionda_serena,2.9,Est
Elassoma_zonatum,3.7,Est
Enteromius_chlorotaenia,3,Est
Enteromius_foutensis,3,Est
Enteromius_trispilos,3,Est
Etheostoma_asprigene,3.3,Est
Etheostoma_chlorobranchium,3.4,Est
Etheostoma_chlorosomum,3.2,Est
Etheostoma_cragini,3.2,Est
Etheostoma_fusiforme,3.2,Est
Etheostoma_gracile,3.2,Est
Etheostoma_histrio,3.3,Est
Etheostoma_lepidum,3.3,Est
Etheostoma_proeliare,3.2,Est
Etheostoma_radiosum,3.3,Est
Etheostoma_serrifer,3.3,Est
Etheostoma_vitreum,3.3,Est
Etheostoma_vulneratum,3.3,Est
Etheostoma_whipplei,3.3,Est
Etheostoma_zonale,3.3,Est
Fundulus_catenatus,3.4,Est
Fundulus_dispar,3.2,Est
Fundulus_olivaceus,3.2,Est
Fundulus_sciadicus,3.2,Est
Fundulus_stellifer,3.4,Est
Fundulus_zebrinus,3.2,Est
Geophagus_sveni,2.3,Est
Gila_atraria,2,Est
Gila_robusta,2,Est
Gymnogobius_opperiens,3.2,Est
Gymnotus_inaequilabiatus,3.5,Est
Hemiodus_orthonops,2.6,Est
Heterobranchus_bidorsalis,3.7,Est
Heterobranchus_isopterus,3.7,Est
Hippopotamyrus_pictus,3.2,Est
Hybognathus_nuchalis ,,
Hybognathus_placitus,,
Hybopsis_amnis,2.9,Est
Hypentelium_etowanum,3,Est
Hypophthalmus_oremaculatus,3.4,Est
Hypostomus_regani,,
Labeo_coubie,2,Est
Labeo_senegalensis,,
Labeobarbus_wurtzi,3.2,Est
Leiopotherapon_unicolor,4.1,Est
Lepisosteus_platostomus,3.9,Est
Lepomis_marginatus,3.3,Est
Lepomis_microlophus,3.5,Est
Lepomis_miniatus,3.4,Est
Lepomis_punctatus,3.4,Est
Leuciscus_burdigalensis,2.8,Est
Loricariichthys_rostratus,2.6,Est
Lucania_parva,3.2,Est
Luxilus_coccogenis,3,Est
Luxilus_zonistius,3,Est
Lythrurus_fumeus ,3.2,Est
Macrhybopsis_gelida,3.3,Est
Macrhybopsis_meeki,3.3,Est
Marcusenius_furcidens,3.1,Est
Marcusenius_ussheri,3.1,Est
Meda_fulgida  ,3.2,Est
Megalancistrus_parananus,,
Megaleporinus_elongatus,2.5,Est
Megaleporinus_macrocephalus,2.5,Est
Megaleporinus_piavussu,2.6,Est
Melanotaenia_duboulayi,2.9,Est
Menidia_beryllina,3.2,Est
Metynnis_lippincottianus,3.5,Est
Micropterus_coosae,3.6,Est
Mormyrops_breviceps,3.3,Est
Mormyrus_hasselquistii,3.2,Est
Morone_mississippiensis,4.1,Est
Moxostoma_collapsum,3.1,Est
Moxostoma_congestum,3.1,Est
Moxostoma_lachneri,3.1,Est
Moxostoma_pappillosum,3.1,Est
Moxostoma_poecilurum,3.1,Est
Nocomis_leptocephalus,3.1,Est
Nocomis_raneyi ,3.1,Est
Notropis_amabilis,2.9,Est
Notropis_amoenus,2.8,Est
Notropis_atrocaudalis,2.9,Est
Notropis_bairdi,2.9,Est
Notropis_cummingsae,2.9,Est
Notropis_girardi,2.9,Est
Notropis_greenei,2.9,Est
Notropis_hypsilepis,2.9,Est
Notropis_jemezanus,2.9,Est
Notropis_leuciodus,2.9,Est
Notropis_longirostris,2.9,Est
Notropis_lutipinnis,2.9,Est
Notropis_ortenburgeri,2.9,Est
Notropis_potteri,2.8,Est
Notropis_sabinae,2.9,Est
Notropis_shumardi,2.8,Est
Notropis_simus,2.8,Est
Notropis_spectrunculus,2.9,Est
Notropis_telescopus,2.8,Est
Notropis_wickliffi,2.9,Est
Noturus_eleutherus,3.3,Est
Noturus_exilis,3.4,Est
Noturus_leptacanthus,3.3,Est
Noturus_nocturnus ,3.4,Est
Percalates_novemaculeatus,3.4,Est
Percina_aurantiaca,3.5,Est
Percina_carbonaria,3.4,Est
Percina_evides,3.4,Est
Percina_macrolepida,3.4,Est
Percina_nevisense,3.4,Est
Percina_nigrofasciata,3.4,Est
Percina_peltata,3.4,Est
Percina_phoxocephala,3.4,Est
Percina_roanoka,3.3,Est
Percina_squamata,3.4,Est
Petrocephalus_pellegrini,3.2,Est
Phenacobius_crassilabrum,2.9,Est
Phenacobius_mirabilis,2.9,Est
Pimelodus_mysteriosus,3.2,Est
Pimelodus_ornatus,3.3,Est
Pimephales_vigilax,2.6,Est
Proterorhinus_semilunaris,3.3,Est
Pseudaspius_hakonensis,3.5,Est
Pseudaspius_sachalinensis,3.5,Est
Pterygoplichthys_ambrosettii,,
Pungitius_sinensis,3.5,Est
Pungitius_tymensis,3.4,Est
Raiamas_nigeriensis,3.3,Est
Raiamas_senegalensis,3.4,Est
Rhamphichthys_hahni,3.2,Est
Rhinichthys_cobitis  ,3,Est
Rhinodoras_dorbignyi,2.7,Est
Rhynchocypris_lagowskii,3.5,Est
Schizodon_altoparanae,2.5,Est
Schizodon_borellii,2.4,Est
Semotilus_thoreauianus,3.5,Est
Steindachnerina_brevipinna,,
Synodontis_bastiani,2.9,Est
Synodontis_comoensis,2.9,Est
Synodontis_koensis,2.9,Est
Synodontis_punctifer,2.9,Est
Trinectes_maculatus,2.9,Est
