,Species,,
1,Agosia_chrysogaster,2.9,Est
2,Ambassis_marianus,3.4,Est
3,Brycon_orbignyanus,2.7,Est
4,Campostoma pauciradii,NA,NA
5,Catostomus_discobolus,2.8,Est
6,Catostomus_occidentalis,2.8,Est
7,Cichlasoma_paranaense,3.3,Est
8,Cobitis_taenia,3.3,Est
9,Cyprinella_lepida,3.1,Est
10,Cyprinella_monacha,3.2,Est
11,Cyprinella_proserpina,3.1,Est
12,Cyprinella_whipplei,3.2,Est
13,Dionda_serena,2.9,Est
14,Eigenmannia virescens,,
15,Gerres subfasciatus,,
16,Gila_atraria,2,Est
17,Gila nigra,,
18,Gila_robusta,2,Est
19,Hybognathus nuchalis,NA,NA
20,Hybognathus placitus,NA,NA
21,Hypostomus commersoni,,
22,Labeo_coubie,2,Est
23,Leiopotherapon_unicolor,4.1,Est
24,Lucania_parva,3.2,Est
25,Luxilus cardinalis,,
26,Luxilus_coccogenis,3,Est
27,Luxilus_zonistius,3,Est
28,Lythrurus_fumeus ,3.2,Est
29,Meda_fulgida  ,3.2,Est
30,Megalancistrus_parananus,,
31,Megaleporinus_elongatus,2.5,Est
32,Menidia audens,,
33,Menidia beryllina,,
34,Nocomis_leptocephalus,3.1,Est
35,Nocomis_raneyi ,3.1,Est
36,Noturus albater,,
37,Noturus_nocturnus ,3.4,Est
38,Percina_phoxocephala,3.4,Est
39,Phenacobius_crassilabrum,2.9,Est
40,Phenacobius_mirabilis,2.9,Est
41,Phoxinus bigerri,,
42,Pteronotropis hypselopterus,,
43,Pteronotropis stonei,,
44,Rhinichthys_cobitis  ,3,Est
45,Rhinodoras_dorbignyi,2.7,Est
46,Romanogobio vladykovi,,
47,Semotilus_thoreauianus,3.5,Est
48,Trinectes_maculatus,2.9,Est
